GEO.id,GEO.id2,GEO.display-label,B25077_001E,B25077_001M
Id,Id2,Geography,Estimate!!Median value (dollars),Margin of Error!!Median value (dollars)
0600000US0901180280,901180280,"Waterford town, New London County, Connecticut",251300,9819
0600000US0901301080,901301080,"Andover town, Tolland County, Connecticut",297400,25428
0600000US0901306260,901306260,"Bolton town, Tolland County, Connecticut",270900,13857
0600000US0901316400,901316400,"Columbia town, Tolland County, Connecticut",267400,14153
0600000US0901317800,901317800,"Coventry town, Tolland County, Connecticut",257300,18376
0600000US0901325360,901325360,"Ellington town, Tolland County, Connecticut",276800,12426
0600000US0901337910,901337910,"Hebron town, Tolland County, Connecticut",303700,15457
0600000US0901344910,901344910,"Mansfield town, Tolland County, Connecticut",249100,14769
0600000US0901369220,901369220,"Somers town, Tolland County, Connecticut",318200,15739
0600000US0901372090,901372090,"Stafford town, Tolland County, Connecticut",200100,11916
0600000US0901376290,901376290,"Tolland town, Tolland County, Connecticut",296600,19792
0600000US0901377830,901377830,"Union town, Tolland County, Connecticut",277400,28866
0600000US0901378250,901378250,"Vernon town, Tolland County, Connecticut",211600,7616
0600000US0901385950,901385950,"Willington town, Tolland County, Connecticut",243000,23230
0600000US0901501430,901501430,"Ashford town, Windham County, Connecticut",271700,38864
0600000US0901509190,901509190,"Brooklyn town, Windham County, Connecticut",227400,20244
0600000US0901512130,901512130,"Canterbury town, Windham County, Connecticut",233900,12974
0600000US0901513810,901513810,"Chaplin town, Windham County, Connecticut",206300,12937
0600000US0901521860,901521860,"Eastford town, Windham County, Connecticut",259800,9435
0600000US0901536000,901536000,"Hampton town, Windham County, Connecticut",237800,14518
0600000US0901540500,901540500,"Killingly town, Windham County, Connecticut",195100,8996
0600000US0901559980,901559980,"Plainfield town, Windham County, Connecticut",192100,9292
0600000US0901561030,901561030,"Pomfret town, Windham County, Connecticut",287900,22145
0600000US0901562710,901562710,"Putnam town, Windham County, Connecticut",197800,9671
0600000US0901567400,901567400,"Scotland town, Windham County, Connecticut",227900,19602
0600000US0901573420,901573420,"Sterling town, Windham County, Connecticut",211400,29683
0600000US0901575870,901575870,"Thompson town, Windham County, Connecticut",220600,11712
0600000US0901586790,901586790,"Windham town, Windham County, Connecticut",158500,6733
0600000US0901588190,901588190,"Woodstock town, Windham County, Connecticut",299300,24416
0400000US09,9,Connecticut,279700,1296
